,Year,LifeExpectancy,Status
0,2015,65.0,Developing
1,2014,59.9,Developing
2,2013,59.9,Developing
3,2012,59.5,Developing
4,2011,59.2,Developing
5,2010,58.8,Developing
6,2009,58.6,Developing
7,2008,58.1,Developing
8,2007,57.5,Developing
9,2006,57.3,Developing
10,2005,57.3,Developing
11,2004,57.0,Developing
12,2003,56.7,Developing
13,2002,56.2,Developing
14,2001,55.3,Developing
15,2000,54.8,Developing
16,2015,77.8,Developing
17,2014,77.5,Developing
18,2013,77.2,Developing
19,2012,76.9,Developing
20,2011,76.6,Developing
21,2010,76.2,Developing
22,2009,76.1,Developing
23,2008,75.3,Developing
24,2007,75.9,Developing
25,2006,74.2,Developing
26,2005,73.5,Developing
27,2004,73.0,Developing
28,2003,72.8,Developing
29,2002,73.3,Developing
30,2001,73.6,Developing
31,2000,72.6,Developing
32,2015,75.6,Developing
33,2014,75.4,Developing
34,2013,75.3,Developing
35,2012,75.1,Developing
36,2011,74.9,Developing
37,2010,74.7,Developing
38,2009,74.4,Developing
39,2008,74.1,Developing
40,2007,73.8,Developing
41,2006,73.4,Developing
42,2005,72.9,Developing
43,2004,72.3,Developing
44,2003,71.7,Developing
45,2002,71.6,Developing
46,2001,71.4,Developing
47,2000,71.3,Developing
48,2015,52.4,Developing
49,2014,51.7,Developing
50,2013,51.1,Developing
51,2012,56.0,Developing
52,2011,51.0,Developing
53,2010,49.6,Developing
54,2009,49.1,Developing
55,2008,48.7,Developing
56,2007,48.2,Developing
57,2006,47.7,Developing
58,2005,47.4,Developing
59,2004,47.1,Developing
60,2003,46.8,Developing
61,2002,46.5,Developing
62,2001,45.7,Developing
63,2000,45.3,Developing
64,2015,76.4,Developing
65,2014,76.2,Developing
66,2013,76.1,Developing
67,2012,75.9,Developing
68,2011,75.7,Developing
69,2010,75.6,Developing
70,2009,75.4,Developing
71,2008,75.2,Developing
72,2007,75.0,Developing
73,2006,74.8,Developing
74,2005,74.6,Developing
75,2004,74.4,Developing
76,2003,74.2,Developing
77,2002,74.0,Developing
78,2001,73.8,Developing
79,2000,73.6,Developing
80,2015,76.3,Developing
81,2014,76.2,Developing
82,2013,76.0,Developing
83,2012,75.9,Developing
84,2011,75.7,Developing
85,2010,75.5,Developing
86,2009,75.6,Developing
87,2008,75.4,Developing
88,2007,74.8,Developing
89,2006,75.2,Developing
90,2005,74.9,Developing
91,2004,74.7,Developing
92,2003,74.1,Developing
93,2002,74.1,Developing
94,2001,74.0,Developing
95,2000,74.1,Developing
96,2015,74.8,Developing
97,2014,74.6,Developing
98,2013,74.4,Developing
99,2012,74.4,Developing
100,2011,73.9,Developing
101,2010,73.5,Developing
102,2009,73.3,Developing
103,2008,73.2,Developing
104,2007,73.5,Developing
105,2006,72.9,Developing
106,2005,73.0,Developing
107,2004,73.0,Developing
108,2003,72.7,Developing
109,2002,72.6,Developing
110,2001,72.6,Developing
111,2000,72.0,Developing
112,2015,82.8,Developed
113,2014,82.7,Developed
114,2013,82.5,Developed
115,2012,82.3,Developed
116,2011,82.0,Developed
117,2010,81.9,Developed
118,2009,81.7,Developed
119,2008,81.3,Developed
120,2007,81.3,Developed
121,2006,81.2,Developed
122,2005,81.0,Developed
123,2004,86.0,Developed
124,2003,83.0,Developed
125,2002,79.9,Developed
126,2001,79.9,Developed
127,2000,79.5,Developed
128,2015,81.5,Developed
129,2014,81.4,Developed
130,2013,81.1,Developed
131,2012,88.0,Developed
132,2011,88.0,Developed
133,2010,84.0,Developed
134,2009,82.0,Developed
135,2008,84.0,Developed
136,2007,81.0,Developed
137,2006,79.8,Developed
138,2005,79.4,Developed
139,2004,79.3,Developed
140,2003,78.8,Developed
141,2002,78.7,Developed
142,2001,78.6,Developed
143,2000,78.1,Developed
144,2015,72.7,Developing
145,2014,72.5,Developing
146,2013,72.2,Developing
147,2012,71.9,Developing
148,2011,71.6,Developing
149,2010,71.1,Developing
150,2009,78.0,Developing
151,2008,73.0,Developing
152,2007,73.0,Developing
153,2006,69.2,Developing
154,2005,68.4,Developing
155,2004,68.4,Developing
156,2003,67.8,Developing
157,2002,67.8,Developing
158,2001,67.5,Developing
159,2000,66.6,Developing
160,2015,76.1,Developing
161,2014,75.4,Developing
162,2013,74.8,Developing
163,2012,74.9,Developing
164,2011,75.0,Developing
165,2010,75.0,Developing
166,2009,74.6,Developing
167,2008,74.5,Developing
168,2007,74.4,Developing
169,2006,74.2,Developing
170,2005,74.1,Developing
171,2004,73.8,Developing
172,2003,73.2,Developing
173,2002,73.1,Developing
174,2001,72.9,Developing
175,2000,72.6,Developing
176,2015,76.9,Developing
177,2014,76.8,Developing
178,2013,76.7,Developing
179,2012,76.5,Developing
180,2011,76.1,Developing
181,2010,76.1,Developing
182,2009,76.0,Developing
183,2008,75.8,Developing
184,2007,75.6,Developing
185,2006,75.5,Developing
186,2005,75.3,Developing
187,2004,75.2,Developing
188,2003,75.0,Developing
189,2002,74.9,Developing
190,2001,74.7,Developing
191,2000,74.5,Developing
192,2015,71.8,Developing
193,2014,71.4,Developing
194,2013,71.0,Developing
195,2012,77.0,Developing
196,2011,73.0,Developing
197,2010,69.9,Developing
198,2009,69.5,Developing
199,2008,69.1,Developing
200,2007,68.6,Developing
201,2006,68.2,Developing
202,2005,67.8,Developing
203,2004,67.3,Developing
204,2003,66.8,Developing
205,2002,66.3,Developing
206,2001,65.8,Developing
207,2000,65.3,Developing
208,2015,75.5,Developing
209,2014,75.4,Developing
210,2013,75.2,Developing
211,2012,75.1,Developing
212,2011,74.9,Developing
213,2010,74.7,Developing
214,2009,74.6,Developing
215,2008,74.4,Developing
216,2007,74.2,Developing
217,2006,74.1,Developing
218,2005,73.9,Developing
219,2004,73.8,Developing
220,2003,73.7,Developing
221,2002,73.5,Developing
222,2001,73.4,Developing
223,2000,73.3,Developing
224,2015,72.3,Developing
225,2014,72.0,Developing
226,2013,71.7,Developing
227,2012,71.9,Developing
228,2011,72.0,Developing
229,2010,73.0,Developing
230,2009,70.0,Developing
231,2008,70.0,Developing
232,2007,69.8,Developing
233,2006,68.9,Developing
234,2005,68.1,Developing
235,2004,68.2,Developing
236,2003,67.7,Developing
237,2002,67.2,Developing
238,2001,67.7,Developing
239,2000,68.0,Developing
240,2015,81.1,Developed
241,2014,89.0,Developed
242,2013,87.0,Developed
243,2012,83.0,Developed
244,2011,83.0,Developed
245,2010,80.0,Developed
246,2009,79.8,Developed
247,2008,79.5,Developed
248,2007,79.5,Developed
249,2006,79.4,Developed
250,2005,78.9,Developed
251,2004,78.8,Developed
252,2003,78.3,Developed
253,2002,78.0,Developed
254,2001,78.0,Developed
255,2000,77.6,Developed
256,2015,71.0,Developing
257,2014,70.0,Developing
258,2013,69.8,Developing
259,2012,69.4,Developing
260,2011,69.4,Developing
261,2010,69.5,Developing
262,2009,69.5,Developing
263,2008,69.6,Developing
264,2007,69.6,Developing
265,2006,69.4,Developing
266,2005,69.0,Developing
267,2004,68.7,Developing
268,2003,68.4,Developing
269,2002,68.5,Developing
270,2001,68.2,Developing
271,2000,68.3,Developing
272,2015,60.0,Developing
273,2014,59.7,Developing
274,2013,59.5,Developing
275,2012,59.3,Developing
276,2011,59.1,Developing
277,2010,58.7,Developing
278,2009,58.4,Developing
279,2008,57.6,Developing
280,2007,57.1,Developing
281,2006,56.8,Developing
282,2005,56.5,Developing
283,2004,56.1,Developing
284,2003,55.8,Developing
285,2002,55.6,Developing
286,2001,55.5,Developing
287,2000,55.4,Developing
288,2015,69.8,Developing
289,2014,69.4,Developing
290,2013,69.1,Developing
291,2012,68.7,Developing
292,2011,68.3,Developing
293,2010,67.9,Developing
294,2009,67.4,Developing
295,2008,67.0,Developing
296,2007,66.5,Developing
297,2006,65.8,Developing
298,2005,65.0,Developing
299,2004,64.2,Developing
300,2003,63.3,Developing
301,2002,62.5,Developing
302,2001,61.7,Developing
303,2000,62.0,Developing
304,2015,77.0,Developing
305,2014,74.0,Developing
306,2013,71.0,Developing
307,2012,69.8,Developing
308,2011,69.3,Developing
309,2010,68.7,Developing
310,2009,68.0,Developing
311,2008,67.4,Developing
312,2007,66.8,Developing
313,2006,66.2,Developing
314,2005,65.7,Developing
315,2004,65.1,Developing
316,2003,64.5,Developing
317,2002,63.9,Developing
318,2001,63.3,Developing
319,2000,62.6,Developing
320,2015,77.4,Developing
321,2014,77.2,Developing
322,2013,77.0,Developing
323,2012,76.8,Developing
324,2011,76.9,Developing
325,2010,76.4,Developing
326,2009,76.1,Developing
327,2008,76.0,Developing
328,2007,75.4,Developing
329,2006,75.7,Developing
330,2005,75.0,Developing
331,2004,75.5,Developing
332,2003,75.2,Developing
333,2002,75.4,Developing
334,2001,74.9,Developing
335,2000,74.6,Developing
336,2015,65.7,Developing
337,2014,65.1,Developing
338,2013,64.2,Developing
339,2012,63.4,Developing
340,2011,62.2,Developing
341,2010,61.1,Developing
342,2009,59.2,Developing
343,2008,57.5,Developing
344,2007,56.9,Developing
345,2006,54.8,Developing
346,2005,51.7,Developing
347,2004,48.1,Developing
348,2003,46.4,Developing
349,2002,46.0,Developing
350,2001,46.7,Developing
351,2000,47.8,Developing
352,2015,75.0,Developing
353,2014,74.8,Developing
354,2013,74.7,Developing
355,2012,74.5,Developing
356,2011,74.1,Developing
357,2010,73.8,Developing
358,2009,73.6,Developing
359,2008,73.4,Developing
360,2007,73.3,Developing
361,2006,73.0,Developing
362,2005,72.7,Developing
363,2004,72.0,Developing
364,2003,71.8,Developing
365,2002,71.4,Developing
366,2001,71.0,Developing
367,2000,75.0,Developing
368,2015,77.7,Developing
369,2014,77.6,Developing
370,2013,77.1,Developing
371,2012,78.3,Developing
372,2011,77.4,Developing
373,2010,76.9,Developing
374,2009,76.8,Developing
375,2008,77.2,Developing
376,2007,76.0,Developing
377,2006,76.3,Developing
378,2005,76.2,Developing
379,2004,76.4,Developing
380,2003,76.0,Developing
381,2002,74.8,Developing
382,2001,74.7,Developing
383,2000,74.4,Developing
384,2015,74.5,Developed
385,2014,74.3,Developed
386,2013,74.1,Developed
387,2012,73.9,Developed
388,2011,73.7,Developed
389,2010,73.4,Developed
390,2009,73.2,Developed
391,2008,72.9,Developed
392,2007,72.6,Developed
393,2006,72.2,Developed
394,2005,72.1,Developed
395,2004,72.2,Developed
396,2003,72.0,Developed
397,2002,71.8,Developed
398,2001,71.6,Developed
399,2000,71.1,Developed
400,2015,59.9,Developing
401,2014,59.3,Developing
402,2013,59.0,Developing
403,2012,58.6,Developing
404,2011,58.1,Developing
405,2010,57.5,Developing
406,2009,56.9,Developing
407,2008,56.1,Developing
408,2007,55.3,Developing
409,2006,54.3,Developing
410,2005,53.3,Developing
411,2004,52.4,Developing
412,2003,51.6,Developing
413,2002,51.0,Developing
414,2001,56.0,Developing
415,2000,51.0,Developing
416,2015,59.6,Developing
417,2014,59.1,Developing
418,2013,58.6,Developing
419,2012,58.0,Developing
420,2011,57.4,Developing
421,2010,56.8,Developing
422,2009,56.2,Developing
423,2008,55.3,Developing
424,2007,54.8,Developing
425,2006,54.1,Developing
426,2005,53.4,Developing
427,2004,52.6,Developing
428,2003,51.9,Developing
429,2002,51.5,Developing
430,2001,51.3,Developing
431,2000,58.0,Developing
432,2015,53.3,Developing
433,2014,52.8,Developing
434,2013,52.3,Developing
435,2012,52.0,Developing
436,2011,51.7,Developing
437,2010,51.5,Developing
438,2009,51.0,Developing
439,2008,54.0,Developing
440,2007,49.9,Developing
441,2006,49.4,Developing
442,2005,48.7,Developing
443,2004,48.2,Developing
444,2003,48.0,Developing
445,2002,47.7,Developing
446,2001,47.8,Developing
447,2000,47.9,Developing
448,2015,73.3,Developing
449,2014,73.0,Developing
450,2013,72.8,Developing
451,2012,72.7,Developing
452,2011,72.6,Developing
453,2010,72.5,Developing
454,2009,72.4,Developing
455,2008,72.4,Developing
456,2007,72.3,Developing
457,2006,72.1,Developing
458,2005,71.8,Developing
459,2004,71.4,Developing
460,2003,71.1,Developing
461,2002,77.0,Developing
462,2001,73.0,Developing
463,2000,69.9,Developing
464,2015,68.7,Developing
465,2014,68.3,Developing
466,2013,67.8,Developing
467,2012,67.4,Developing
468,2011,67.0,Developing
469,2010,66.6,Developing
470,2009,66.1,Developing
471,2008,65.6,Developing
472,2007,65.0,Developing
473,2006,64.1,Developing
474,2005,62.9,Developing
475,2004,61.5,Developing
476,2003,63.0,Developing
477,2002,59.3,Developing
478,2001,58.5,Developing
479,2000,57.7,Developing
480,2015,57.3,Developing
481,2014,56.7,Developing
482,2013,56.4,Developing
483,2012,55.9,Developing
484,2011,55.6,Developing
485,2010,55.3,Developing
486,2009,54.8,Developing
487,2008,54.2,Developing
488,2007,53.6,Developing
489,2006,53.3,Developing
490,2005,52.8,Developing
491,2004,52.1,Developing
492,2003,51.8,Developing
493,2002,51.6,Developing
494,2001,51.5,Developing
495,2000,51.4,Developing
496,2015,82.2,Developing
497,2014,82.0,Developing
498,2013,81.8,Developing
499,2012,81.6,Developing
500,2011,81.5,Developing
501,2010,81.2,Developing
502,2009,81.0,Developing
503,2008,87.0,Developing
504,2007,85.0,Developing
505,2006,85.0,Developing
506,2005,81.0,Developing
507,2004,80.0,Developing
508,2003,79.7,Developing
509,2002,79.5,Developing
510,2001,79.4,Developing
511,2000,79.1,Developing
512,2015,52.5,Developing
513,2014,58.0,Developing
514,2013,49.9,Developing
515,2012,53.0,Developing
516,2011,49.8,Developing
517,2010,49.2,Developing
518,2009,48.6,Developing
519,2008,47.6,Developing
520,2007,46.8,Developing
521,2006,46.3,Developing
522,2005,45.9,Developing
523,2004,45.7,Developing
524,2003,45.7,Developing
525,2002,45.6,Developing
526,2001,45.6,Developing
527,2000,46.0,Developing
528,2015,53.1,Developing
529,2014,52.6,Developing
530,2013,52.2,Developing
531,2012,51.8,Developing
532,2011,51.6,Developing
533,2010,51.2,Developing
534,2009,57.0,Developing
535,2008,49.6,Developing
536,2007,49.4,Developing
537,2006,48.5,Developing
538,2005,48.6,Developing
539,2004,48.5,Developing
540,2003,48.4,Developing
541,2002,48.1,Developing
542,2001,48.0,Developing
543,2000,47.6,Developing
544,2015,85.0,Developing
545,2014,83.0,Developing
546,2013,81.0,Developing
547,2012,79.9,Developing
548,2011,79.8,Developing
549,2010,79.1,Developing
550,2009,79.3,Developing
551,2008,79.6,Developing
552,2007,78.9,Developing
553,2006,78.9,Developing
554,2005,78.4,Developing
555,2004,78.0,Developing
556,2003,77.9,Developing
557,2002,77.8,Developing
558,2001,77.3,Developing
559,2000,77.3,Developing
560,2015,76.1,Developing
561,2014,75.8,Developing
562,2013,75.6,Developing
563,2012,75.4,Developing
564,2011,75.2,Developing
565,2010,75.0,Developing
566,2009,74.9,Developing
567,2008,74.5,Developing
568,2007,74.4,Developing
569,2006,74.2,Developing
570,2005,73.9,Developing
571,2004,73.5,Developing
572,2003,73.1,Developing
573,2002,72.7,Developing
574,2001,72.2,Developing
575,2000,71.7,Developing
576,2015,74.8,Developing
577,2014,74.6,Developing
578,2013,74.4,Developing
579,2012,74.3,Developing
580,2011,74.2,Developing
581,2010,73.6,Developing
582,2009,73.6,Developing
583,2008,73.5,Developing
584,2007,73.5,Developing
585,2006,73.1,Developing
586,2005,73.1,Developing
587,2004,72.8,Developing
588,2003,72.4,Developing
589,2002,71.8,Developing
590,2001,71.5,Developing
591,2000,71.4,Developing
592,2015,63.5,Developing
593,2014,63.2,Developing
594,2013,62.9,Developing
595,2012,62.5,Developing
596,2011,62.2,Developing
597,2010,61.8,Developing
598,2009,61.3,Developing
599,2008,61.0,Developing
600,2007,66.0,Developing
601,2006,63.0,Developing
602,2005,60.0,Developing
603,2004,59.8,Developing
604,2003,59.6,Developing
605,2002,59.5,Developing
606,2001,59.5,Developing
607,2000,59.5,Developing
608,2015,64.7,Developing
609,2014,64.2,Developing
610,2013,63.9,Developing
611,2012,63.7,Developing
612,2011,62.9,Developing
613,2010,62.0,Developing
614,2009,68.0,Developing
615,2008,59.4,Developing
616,2007,58.2,Developing
617,2006,56.9,Developing
618,2005,55.3,Developing
619,2004,54.1,Developing
620,2003,53.2,Developing
621,2002,52.6,Developing
622,2001,52.7,Developing
623,2000,52.9,Developing
624,2013,69.22493169398908,Developing
625,2015,79.6,Developing
626,2014,79.5,Developing
627,2013,79.4,Developing
628,2012,79.2,Developing
629,2011,79.0,Developing
630,2010,78.1,Developing
631,2009,79.2,Developing
632,2008,78.9,Developing
633,2007,78.9,Developing
634,2006,78.0,Developing
635,2005,78.6,Developing
636,2004,77.7,Developing
637,2003,78.0,Developing
638,2002,78.3,Developing
639,2001,77.5,Developing
640,2000,77.6,Developing
641,2015,78.0,Developed
642,2014,77.8,Developed
643,2013,77.7,Developed
644,2012,77.1,Developed
645,2011,77.0,Developed
646,2010,76.6,Developed
647,2009,76.3,Developed
648,2008,76.0,Developed
649,2007,75.8,Developed
650,2006,75.9,Developed
651,2005,75.2,Developed
652,2004,75.4,Developed
653,2003,74.7,Developed
654,2002,74.8,Developed
655,2001,74.9,Developed
656,2000,74.7,Developed
657,2015,79.1,Developing
658,2014,79.0,Developing
659,2013,78.7,Developing
660,2012,78.7,Developing
661,2011,78.8,Developing
662,2010,78.0,Developing
663,2009,78.1,Developing
664,2008,77.9,Developing
665,2007,78.1,Developing
666,2006,78.0,Developing
667,2005,77.2,Developing
668,2004,77.3,Developing
669,2003,77.4,Developing
670,2002,77.7,Developing
671,2001,76.7,Developing
672,2000,76.9,Developing
673,2015,85.0,Developed
674,2014,83.0,Developed
675,2013,81.0,Developed
676,2012,80.0,Developed
677,2011,79.7,Developed
678,2010,79.5,Developed
679,2009,79.3,Developed
680,2008,79.1,Developed
681,2007,78.9,Developed
682,2006,78.8,Developed
683,2005,78.7,Developed
684,2004,78.6,Developed
685,2003,78.5,Developed
686,2002,78.4,Developed
687,2001,78.2,Developed
688,2000,78.1,Developed
689,2015,78.8,Developed
690,2014,78.6,Developed
691,2013,78.2,Developed
692,2012,78.0,Developed
693,2011,77.8,Developed
694,2010,77.5,Developed
695,2009,77.1,Developed
696,2008,77.0,Developed
697,2007,76.8,Developed
698,2006,76.5,Developed
699,2005,75.9,Developed
700,2004,75.8,Developed
701,2003,75.2,Developed
702,2002,75.3,Developed
703,2001,75.1,Developed
704,2000,74.7,Developed
705,2015,76.0,Developing
706,2014,73.0,Developing
707,2013,71.0,Developing
708,2012,69.8,Developing
709,2011,69.4,Developing
710,2010,69.0,Developing
711,2009,68.7,Developing
712,2008,68.6,Developing
713,2007,68.5,Developing
714,2006,68.5,Developing
715,2005,68.5,Developing
716,2004,68.4,Developing
717,2003,68.1,Developing
718,2002,67.6,Developing
719,2001,66.6,Developing
720,2000,65.4,Developing
721,2015,59.8,Developing
722,2014,59.3,Developing
723,2013,58.8,Developing
724,2012,58.3,Developing
725,2011,57.9,Developing
726,2010,57.4,Developing
727,2009,56.7,Developing
728,2008,56.3,Developing
729,2007,55.7,Developing
730,2006,55.0,Developing
731,2005,54.3,Developing
732,2004,53.5,Developing
733,2003,52.8,Developing
734,2002,52.1,Developing
735,2001,51.8,Developing
736,2000,51.3,Developing
737,2015,86.0,Developed
738,2014,84.0,Developed
739,2013,81.0,Developed
740,2012,80.0,Developed
741,2011,79.7,Developed
742,2010,79.2,Developed
743,2009,78.9,Developed
744,2008,78.8,Developed
745,2007,78.4,Developed
746,2006,78.1,Developed
747,2005,78.1,Developed
748,2004,77.7,Developed
749,2003,77.3,Developed
750,2002,77.0,Developed
751,2001,77.0,Developed
752,2000,76.9,Developed
753,2015,63.5,Developing
754,2014,63.0,Developing
755,2013,62.7,Developing
756,2012,62.2,Developing
