,Year,LifeExpectancy
0,2015,65.0
1,2014,59.9
2,2013,59.9
3,2012,59.5
4,2011,59.2
5,2010,58.8
6,2009,58.6
7,2008,58.1
8,2007,57.5
9,2006,57.3
10,2005,57.3
11,2004,57.0
12,2003,56.7
13,2002,56.2
14,2001,55.3
15,2000,54.8
16,2015,77.8
17,2014,77.5
18,2013,77.2
19,2012,76.9
20,2011,76.6
21,2010,76.2
22,2009,76.1
23,2008,75.3
24,2007,75.9
25,2006,74.2
26,2005,73.5
27,2004,73.0
28,2003,72.8
29,2002,73.3
30,2001,73.6
31,2000,72.6
32,2015,75.6
33,2014,75.4
34,2013,75.3
35,2012,75.1
36,2011,74.9
37,2010,74.7
38,2009,74.4
39,2008,74.1
40,2007,73.8
41,2006,73.4
42,2005,72.9
43,2004,72.3
44,2003,71.7
45,2002,71.6
46,2001,71.4
47,2000,71.3
48,2015,52.4
49,2014,51.7
50,2013,51.1
51,2012,56.0
52,2011,51.0
53,2010,49.6
54,2009,49.1
55,2008,48.7
56,2007,48.2
57,2006,47.7
58,2005,47.4
59,2004,47.1
60,2003,46.8
61,2002,46.5
62,2001,45.7
63,2000,45.3
64,2015,76.4
65,2014,76.2
66,2013,76.1
67,2012,75.9
68,2011,75.7
69,2010,75.6
70,2009,75.4
71,2008,75.2
72,2007,75.0
73,2006,74.8
74,2005,74.6
75,2004,74.4
76,2003,74.2
77,2002,74.0
78,2001,73.8
79,2000,73.6
80,2015,76.3
81,2014,76.2
82,2013,76.0
83,2012,75.9
84,2011,75.7
85,2010,75.5
86,2009,75.6
87,2008,75.4
88,2007,74.8
89,2006,75.2
90,2005,74.9
91,2004,74.7
92,2003,74.1
93,2002,74.1
94,2001,74.0
95,2000,74.1
96,2015,74.8
97,2014,74.6
98,2013,74.4
99,2012,74.4
100,2011,73.9
101,2010,73.5
102,2009,73.3
103,2008,73.2
104,2007,73.5
105,2006,72.9
106,2005,73.0
107,2004,73.0
108,2003,72.7
109,2002,72.6
110,2001,72.6
111,2000,72.0
112,2015,82.8
113,2014,82.7
114,2013,82.5
115,2012,82.3
116,2011,82.0
117,2010,81.9
118,2009,81.7
119,2008,81.3
120,2007,81.3
121,2006,81.2
122,2005,81.0
123,2004,86.0
124,2003,83.0
125,2002,79.9
126,2001,79.9
127,2000,79.5
128,2015,81.5
129,2014,81.4
130,2013,81.1
131,2012,88.0
132,2011,88.0
133,2010,84.0
134,2009,82.0
135,2008,84.0
136,2007,81.0
137,2006,79.8
138,2005,79.4
139,2004,79.3
140,2003,78.8
141,2002,78.7
142,2001,78.6
143,2000,78.1
144,2015,72.7
145,2014,72.5
146,2013,72.2
147,2012,71.9
148,2011,71.6
149,2010,71.1
150,2009,78.0
151,2008,73.0
152,2007,73.0
153,2006,69.2
154,2005,68.4
155,2004,68.4
156,2003,67.8
157,2002,67.8
158,2001,67.5
159,2000,66.6
160,2015,76.1
161,2014,75.4
162,2013,74.8
163,2012,74.9
164,2011,75.0
165,2010,75.0
166,2009,74.6
167,2008,74.5
168,2007,74.4
169,2006,74.2
170,2005,74.1
171,2004,73.8
172,2003,73.2
173,2002,73.1
174,2001,72.9
175,2000,72.6
176,2015,76.9
177,2014,76.8
178,2013,76.7
179,2012,76.5
180,2011,76.1
181,2010,76.1
182,2009,76.0
183,2008,75.8
184,2007,75.6
185,2006,75.5
186,2005,75.3
187,2004,75.2
188,2003,75.0
189,2002,74.9
190,2001,74.7
191,2000,74.5
192,2015,71.8
193,2014,71.4
194,2013,71.0
195,2012,77.0
196,2011,73.0
197,2010,69.9
198,2009,69.5
199,2008,69.1
200,2007,68.6
201,2006,68.2
202,2005,67.8
203,2004,67.3
204,2003,66.8
205,2002,66.3
206,2001,65.8
207,2000,65.3
208,2015,75.5
209,2014,75.4
210,2013,75.2
211,2012,75.1
212,2011,74.9
213,2010,74.7
214,2009,74.6
215,2008,74.4
216,2007,74.2
217,2006,74.1
218,2005,73.9
219,2004,73.8
220,2003,73.7
221,2002,73.5
222,2001,73.4
223,2000,73.3
224,2015,72.3
225,2014,72.0
226,2013,71.7
227,2012,71.9
228,2011,72.0
229,2010,73.0
230,2009,70.0
231,2008,70.0
232,2007,69.8
233,2006,68.9
234,2005,68.1
235,2004,68.2
236,2003,67.7
237,2002,67.2
238,2001,67.7
239,2000,68.0
240,2015,81.1
241,2014,89.0
242,2013,87.0
243,2012,83.0
244,2011,83.0
245,2010,80.0
246,2009,79.8
247,2008,79.5
248,2007,79.5
249,2006,79.4
250,2005,78.9
251,2004,78.8
252,2003,78.3
253,2002,78.0
254,2001,78.0
255,2000,77.6
256,2015,71.0
257,2014,70.0
258,2013,69.8
259,2012,69.4
260,2011,69.4
261,2010,69.5
262,2009,69.5
263,2008,69.6
264,2007,69.6
265,2006,69.4
266,2005,69.0
267,2004,68.7
268,2003,68.4
269,2002,68.5
270,2001,68.2
271,2000,68.3
272,2015,60.0
273,2014,59.7
274,2013,59.5
275,2012,59.3
276,2011,59.1
277,2010,58.7
278,2009,58.4
279,2008,57.6
280,2007,57.1
281,2006,56.8
282,2005,56.5
283,2004,56.1
284,2003,55.8
285,2002,55.6
286,2001,55.5
287,2000,55.4
288,2015,69.8
289,2014,69.4
290,2013,69.1
291,2012,68.7
292,2011,68.3
293,2010,67.9
294,2009,67.4
295,2008,67.0
296,2007,66.5
297,2006,65.8
298,2005,65.0
299,2004,64.2
300,2003,63.3
301,2002,62.5
302,2001,61.7
303,2000,62.0
304,2015,77.0
305,2014,74.0
306,2013,71.0
307,2012,69.8
308,2011,69.3
309,2010,68.7
310,2009,68.0
311,2008,67.4
312,2007,66.8
313,2006,66.2
314,2005,65.7
315,2004,65.1
316,2003,64.5
317,2002,63.9
318,2001,63.3
319,2000,62.6
320,2015,77.4
321,2014,77.2
322,2013,77.0
323,2012,76.8
324,2011,76.9
325,2010,76.4
326,2009,76.1
327,2008,76.0
328,2007,75.4
329,2006,75.7
330,2005,75.0
331,2004,75.5
332,2003,75.2
333,2002,75.4
334,2001,74.9
335,2000,74.6
336,2015,65.7
337,2014,65.1
338,2013,64.2
339,2012,63.4
340,2011,62.2
341,2010,61.1
342,2009,59.2
343,2008,57.5
344,2007,56.9
345,2006,54.8
346,2005,51.7
347,2004,48.1
348,2003,46.4
349,2002,46.0
350,2001,46.7
351,2000,47.8
352,2015,75.0
353,2014,74.8
354,2013,74.7
355,2012,74.5
356,2011,74.1
357,2010,73.8
358,2009,73.6
359,2008,73.4
360,2007,73.3
361,2006,73.0
362,2005,72.7
363,2004,72.0
364,2003,71.8
365,2002,71.4
366,2001,71.0
367,2000,75.0
368,2015,77.7
369,2014,77.6
370,2013,77.1
371,2012,78.3
372,2011,77.4
373,2010,76.9
374,2009,76.8
375,2008,77.2
376,2007,76.0
377,2006,76.3
378,2005,76.2
379,2004,76.4
380,2003,76.0
381,2002,74.8
382,2001,74.7
383,2000,74.4
384,2015,74.5
385,2014,74.3
386,2013,74.1
387,2012,73.9
388,2011,73.7
389,2010,73.4
390,2009,73.2
391,2008,72.9
392,2007,72.6
393,2006,72.2
394,2005,72.1
395,2004,72.2
396,2003,72.0
397,2002,71.8
398,2001,71.6
399,2000,71.1
400,2015,59.9
401,2014,59.3
402,2013,59.0
403,2012,58.6
404,2011,58.1
405,2010,57.5
406,2009,56.9
407,2008,56.1
408,2007,55.3
409,2006,54.3
410,2005,53.3
411,2004,52.4
412,2003,51.6
413,2002,51.0
414,2001,56.0
415,2000,51.0
416,2015,59.6
417,2014,59.1
418,2013,58.6
419,2012,58.0
420,2011,57.4
421,2010,56.8
422,2009,56.2
423,2008,55.3
424,2007,54.8
425,2006,54.1
426,2005,53.4
427,2004,52.6
428,2003,51.9
429,2002,51.5
430,2001,51.3
431,2000,58.0
432,2015,53.3
433,2014,52.8
434,2013,52.3
435,2012,52.0
436,2011,51.7
437,2010,51.5
438,2009,51.0
439,2008,54.0
440,2007,49.9
441,2006,49.4
442,2005,48.7
443,2004,48.2
444,2003,48.0
445,2002,47.7
446,2001,47.8
447,2000,47.9
448,2015,73.3
449,2014,73.0
450,2013,72.8
451,2012,72.7
452,2011,72.6
453,2010,72.5
454,2009,72.4
455,2008,72.4
456,2007,72.3
457,2006,72.1
458,2005,71.8
459,2004,71.4
460,2003,71.1
461,2002,77.0
462,2001,73.0
463,2000,69.9
464,2015,68.7
465,2014,68.3
466,2013,67.8
467,2012,67.4
468,2011,67.0
469,2010,66.6
470,2009,66.1
471,2008,65.6
472,2007,65.0
473,2006,64.1
474,2005,62.9
475,2004,61.5
476,2003,63.0
477,2002,59.3
478,2001,58.5
479,2000,57.7
480,2015,57.3
481,2014,56.7
482,2013,56.4
483,2012,55.9
484,2011,55.6
485,2010,55.3
486,2009,54.8
487,2008,54.2
488,2007,53.6
489,2006,53.3
490,2005,52.8
491,2004,52.1
492,2003,51.8
493,2002,51.6
494,2001,51.5
495,2000,51.4
496,2015,82.2
497,2014,82.0
498,2013,81.8
499,2012,81.6
500,2011,81.5
501,2010,81.2
502,2009,81.0
503,2008,87.0
504,2007,85.0
505,2006,85.0
506,2005,81.0
507,2004,80.0
508,2003,79.7
509,2002,79.5
510,2001,79.4
511,2000,79.1
512,2015,52.5
513,2014,58.0
514,2013,49.9
515,2012,53.0
516,2011,49.8
517,2010,49.2
518,2009,48.6
519,2008,47.6
520,2007,46.8
521,2006,46.3
522,2005,45.9
523,2004,45.7
524,2003,45.7
525,2002,45.6
526,2001,45.6
527,2000,46.0
528,2015,53.1
529,2014,52.6
530,2013,52.2
531,2012,51.8
532,2011,51.6
533,2010,51.2
534,2009,57.0
535,2008,49.6
536,2007,49.4
537,2006,48.5
538,2005,48.6
539,2004,48.5
540,2003,48.4
541,2002,48.1
542,2001,48.0
543,2000,47.6
544,2015,85.0
545,2014,83.0
546,2013,81.0
547,2012,79.9
548,2011,79.8
549,2010,79.1
550,2009,79.3
551,2008,79.6
552,2007,78.9
553,2006,78.9
554,2005,78.4
555,2004,78.0
556,2003,77.9
557,2002,77.8
558,2001,77.3
559,2000,77.3
560,2015,76.1
561,2014,75.8
562,2013,75.6
563,2012,75.4
564,2011,75.2
565,2010,75.0
566,2009,74.9
567,2008,74.5
568,2007,74.4
569,2006,74.2
570,2005,73.9
571,2004,73.5
572,2003,73.1
573,2002,72.7
574,2001,72.2
575,2000,71.7
576,2015,74.8
577,2014,74.6
578,2013,74.4
579,2012,74.3
580,2011,74.2
581,2010,73.6
582,2009,73.6
583,2008,73.5
584,2007,73.5
585,2006,73.1
586,2005,73.1
587,2004,72.8
588,2003,72.4
589,2002,71.8
590,2001,71.5
591,2000,71.4
592,2015,63.5
593,2014,63.2
594,2013,62.9
595,2012,62.5
596,2011,62.2
597,2010,61.8
598,2009,61.3
599,2008,61.0
600,2007,66.0
601,2006,63.0
602,2005,60.0
603,2004,59.8
604,2003,59.6
605,2002,59.5
606,2001,59.5
607,2000,59.5
608,2015,64.7
609,2014,64.2
610,2013,63.9
611,2012,63.7
612,2011,62.9
613,2010,62.0
614,2009,68.0
615,2008,59.4
616,2007,58.2
617,2006,56.9
618,2005,55.3
619,2004,54.1
620,2003,53.2
621,2002,52.6
622,2001,52.7
623,2000,52.9
624,2013,69.22493169398908
625,2015,79.6
626,2014,79.5
627,2013,79.4
628,2012,79.2
629,2011,79.0
630,2010,78.1
631,2009,79.2
632,2008,78.9
633,2007,78.9
634,2006,78.0
635,2005,78.6
636,2004,77.7
637,2003,78.0
638,2002,78.3
639,2001,77.5
640,2000,77.6
641,2015,78.0
642,2014,77.8
643,2013,77.7
644,2012,77.1
645,2011,77.0
646,2010,76.6
647,2009,76.3
648,2008,76.0
649,2007,75.8
650,2006,75.9
651,2005,75.2
652,2004,75.4
653,2003,74.7
654,2002,74.8
655,2001,74.9
656,2000,74.7
657,2015,79.1
658,2014,79.0
659,2013,78.7
660,2012,78.7
661,2011,78.8
662,2010,78.0
663,2009,78.1
664,2008,77.9
665,2007,78.1
666,2006,78.0
667,2005,77.2
668,2004,77.3
669,2003,77.4
670,2002,77.7
671,2001,76.7
672,2000,76.9
673,2015,85.0
674,2014,83.0
675,2013,81.0
676,2012,80.0
677,2011,79.7
678,2010,79.5
679,2009,79.3
680,2008,79.1
681,2007,78.9
682,2006,78.8
683,2005,78.7
684,2004,78.6
685,2003,78.5
686,2002,78.4
687,2001,78.2
688,2000,78.1
689,2015,78.8
690,2014,78.6
691,2013,78.2
692,2012,78.0
693,2011,77.8
694,2010,77.5
695,2009,77.1
696,2008,77.0
697,2007,76.8
698,2006,76.5
699,2005,75.9
700,2004,75.8
701,2003,75.2
702,2002,75.3
703,2001,75.1
704,2000,74.7
705,2015,76.0
706,2014,73.0
707,2013,71.0
708,2012,69.8
709,2011,69.4
710,2010,69.0
711,2009,68.7
712,2008,68.6
713,2007,68.5
714,2006,68.5
715,2005,68.5
716,2004,68.4
717,2003,68.1
718,2002,67.6
719,2001,66.6
720,2000,65.4
721,2015,59.8
722,2014,59.3
723,2013,58.8
724,2012,58.3
725,2011,57.9
726,2010,57.4
727,2009,56.7
728,2008,56.3
729,2007,55.7
730,2006,55.0
731,2005,54.3
732,2004,53.5
733,2003,52.8
734,2002,52.1
735,2001,51.8
736,2000,51.3
737,2015,86.0
738,2014,84.0
739,2013,81.0
740,2012,80.0
741,2011,79.7
742,2010,79.2
743,2009,78.9
744,2008,78.8
745,2007,78.4
746,2006,78.1
747,2005,78.1
748,2004,77.7
749,2003,77.3
750,2002,77.0
751,2001,77.0
752,2000,76.9
753,2015,63.5
754,2014,63.0
755,2013,62.7
756,2012,62.2
757,2011,61.8
758,2010,61.3
759,2009,69.0
760,2008,62.0
761,2007,59.8
762,2006,59.1
763,2005,58.6
764,2004,58.1
765,2003,58.0
766,2002,57.9
767,2001,57.7
768,2000,57.4
769,2013,69.22493169398908
770,2015,73.9
771,2014,73.6
772,2013,73.4
773,2012,72.1
774,2011,73.1
775,2010,72.7
776,2009,73.6
777,2008,73.3
778,2007,72.9
779,2006,72.3
780,2005,69.7
781,2004,69.3
782,2003,73.0
783,2002,71.4
784,2001,71.2
785,2000,72.0
786,2015,76.2
787,2014,76.0
788,2013,76.0
789,2012,75.5
790,2011,75.3
791,2010,75.0
792,2009,75.1
793,2008,74.6
794,2007,74.7
795,2006,74.4
796,2005,74.2
797,2004,74.4
798,2003,74.4
799,2002,73.6
800,2001,73.4
801,2000,72.8
802,2015,79.0
803,2014,78.0
804,2013,79.0
805,2012,72.0
806,2011,74.0
807,2010,70.0
808,2009,69.9
809,2008,69.8
810,2007,69.7
811,2006,69.5
812,2005,69.4
813,2004,69.0
814,2003,68.6
815,2002,68.7
816,2001,68.6
817,2000,68.8
818,2015,73.5
819,2014,73.3
820,2013,73.0
821,2012,73.0
822,2011,72.0
823,2010,72.0
824,2009,71.4
825,2008,71.7
826,2007,71.2
827,2006,75.0
828,2005,71.0
829,2004,70.0
830,2003,69.9
831,2002,73.0
832,2001,68.9
833,2000,69.0
834,2015,58.2
835,2014,57.9
836,2013,57.4
837,2012,56.7
838,2011,56.2
839,2010,56.1
840,2009,55.7
841,2008,55.4
842,2007,55.0
843,2006,54.8
844,2005,54.4
845,2004,54.1
846,2003,53.8
847,2002,53.5
848,2001,53.1
849,2000,52.7
850,2015,64.7
851,2014,64.4
852,2013,64.0
853,2012,63.6
854,2011,62.9
855,2010,62.1
856,2009,61.4
857,2008,67.0
858,2007,62.0
859,2006,59.7
860,2005,59.4
861,2004,59.1
862,2003,58.8
863,2002,58.5
864,2001,58.1
865,2000,45.3
866,2015,77.6
867,2014,77.3
868,2013,76.9
869,2012,76.3
870,2011,76.1
871,2010,75.6
872,2009,74.9
873,2008,74.2
874,2007,73.0
875,2006,73.0
876,2005,72.8
877,2004,72.3
878,2003,71.9
879,2002,71.2
880,2001,78.0
881,2000,78.0
882,2015,64.8
883,2014,64.2
884,2013,63.7
885,2012,63.3
886,2011,62.6
887,2010,61.8
888,2009,68.0
889,2008,59.8
890,2007,58.5
891,2006,57.2
892,2005,56.0
893,2004,55.0
894,2003,54.0
895,2002,53.2
896,2001,52.5
897,2000,51.2
898,2015,69.9
899,2014,69.7
900,2013,69.6
901,2012,69.4
902,2011,69.2
903,2010,69.1
904,2009,68.9
905,2008,68.7
906,2007,68.6
907,2006,68.5
908,2005,68.3
909,2004,68.1
910,2003,68.0
911,2002,67.9
912,2001,67.8
913,2000,67.7
914,2015,81.1
915,2014,89.0
916,2013,87.0
917,2012,84.0
918,2011,83.0
919,2010,79.9
920,2009,79.7
921,2008,79.6
922,2007,79.3
923,2006,79.2
924,2005,78.9
925,2004,78.7
926,2003,78.4
927,2002,78.1
928,2001,78.0
929,2000,77.5
930,2015,82.4
931,2014,82.2
932,2013,82.0
933,2012,81.5
934,2011,81.7
935,2010,81.3
936,2009,81.1
937,2008,89.0
938,2007,89.0
939,2006,86.0
940,2005,81.0
941,2004,82.0
942,2003,79.3
943,2002,79.2
944,2001,79.0
945,2000,78.8
946,2015,66.0
947,2014,65.5
948,2013,64.6
949,2012,63.5
950,2011,62.8
951,2010,62.3
952,2009,61.7
953,2008,61.6
954,2007,61.6
955,2006,61.4
956,2005,65.0
957,2004,59.7
958,2003,59.7
959,2002,59.7
960,2001,59.8
961,2000,61.0
962,2015,61.1
963,2014,68.0
964,2013,66.0
965,2012,62.0
966,2011,59.8
967,2010,59.3
968,2009,59.0
969,2008,58.7
970,2007,58.5
971,2006,58.2
972,2005,57.7
973,2004,57.3
974,2003,57.0
975,2002,56.6
976,2001,56.3
977,2000,55.9
978,2015,74.4
979,2014,74.5
980,2013,74.5
981,2012,74.2
982,2011,73.9
983,2010,73.8
984,2009,73.2
985,2008,73.9
986,2007,74.4
987,2006,73.9
988,2005,73.9
989,2004,72.3
990,2003,72.7
991,2002,71.7
992,2001,73.0
993,2000,71.8
994,2015,81.0
995,2014,89.0
996,2013,86.0
997,2012,86.0
998,2011,85.0
999,2010,81.0
1000,2009,80.0
1001,2008,79.9
1002,2007,79.8
1003,2006,79.6
1004,2005,79.2
1005,2004,79.1
1006,2003,78.5
1007,2002,78.4
1008,2001,78.3
1009,2000,78.0
1010,2015,62.4
1011,2014,62.1
1012,2013,61.9
1013,2012,61.6
1014,2011,61.2
1015,2010,69.0
1016,2009,66.0
1017,2008,63.0
1018,2007,59.9
1019,2006,59.4
1020,2005,58.9
1021,2004,58.3
1022,2003,57.9
1023,2002,57.6
1024,2001,57.4
1025,2000,57.2
1026,2015,81.0
1027,2014,88.0
